Early Fine Merino      ,  1    ,  19.2   , 17.2  , 1.11  , 26.7  , 0.0  , 0.0  , 30 
Tas. Fine Merino       ,  2    ,  18.4   , 17.8  , 1.03  ,  9.5  , 0.0  , 0.0  , 21 
Tas. Fine Merino       ,  4    ,  19.2   , 16.2  , 1.15  , 36.4  , 0.0  , 0.0  , 22 
Tas. Fine Merino       ,  6    ,  19.3   , 16.7  , 1.15  , 33.3  , 0.0  , 0.0  , 21 
Tas. Fine Merino       ,  7    ,  19.9   , 18.8  , 1.02  ,  8.7  , 0.0  , 0.0  , 23 
Tas. Fine Merino       ,  8    ,  20.6   , 18.1  , 1.15  , 37.5  , 6.3  , 0.0  , 16 
Vic. Fine Merino       , 10    ,  20.2   , 18.0  , 1.12  , 28.6  , 0.0  , 0.0  , 21 
Vic. Fine Merino       , 11    ,  18.3   , 15.9  , 1.16  , 27.3  , 0.0  , 0.0  , 11 
Vic. Fine Merino       , 12    ,  15.8   , 15.7  , 1.01  ,  7.7  , 0.0  , 0.0  , 13 
Vic. Fine Merino       , 13    ,  22.7   , 19.9  , 1.15  , 38.1  , 4.8  , 0.0  , 21 
NSW Fine Merino        , 14    ,  19.0   , 17.1  , 1.13  , 19.0  , 0.0  , 0.0  , 21 
Non-Peppin Medium Merino ,  15 ,  23.0   , 22.6  , 1.02  , 6.0   , 0.0  , 0.0  , 25 
Non-Peppin Medium Merino,16    ,  22.3   , 21.0  , 1.07  , 22.7  , 0.0  , 0.0  , 22 
Non-Peppin Medium Merino,17    ,  26.6   , 22.3  , 1.20  , 38.1  , 9.5  , 0.0  , 21 
Peppin Medium Merino   , 18    ,  29.8   , 23.7  , 1.26  , 56.7  , 20.0 , 0.0  , 30 
Peppin Medium Merino   , 19    ,  25.1   , 17.8  , 1.43  , 80.0  , 25.0 , 15.0 , 20 
Peppin Medium Merino   , 20    ,  28.0   , 22.8  , 1.23  , 60.0  , 0.0  , 0.0  , 20 
Peppin Medium Merino   , 21    ,  25.7   , 23.2  , 1.11  , 30.0  , 0.0  , 0.0  , 20 
Peppin Medium Merino   , 22    ,  21.6   , 17.1  , 1.27  , 42.9  , 19.0 , 4.8  , 21 
Peppin Medium Merino   , 23    ,  25.5 ,  19.9  , 1.25  , 66.7  , 13.3 , 0.0  , 15 
Peppin Medium Merino   , 24    ,  21.1 ,  16.8  , 1.27  , 54.5  , 9.1  , 9.9  , 11 
Peppin Medium Merino   , 25    ,  22.5   , 19.2  , 1.18  , 38.1  , 0.0  , 0.0  , 21 
Strong Merino          , 26    ,  29.7 ,  22.5  , 1.33  , 71.4  , 14.3 , 9.5  , 21 
Strong Merino          , 27    ,  30.8  , 23.7  , 1.30  , 76.2  , 19.0 , 0.0  , 21 
Strong Merino          , 28    ,  32.6 ,  24.7  , 1.33  , 66.7  , 14.3 , 4.8  , 21 
